SN,CN,AO,AC,UA,UN,UW,ISN,ISC,ISA,ISW
CE,Redenção,Universidade,Pública Federal,UNILAB,UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA,http://www.unilab.edu.br,Pró-Reitoria de Relações Interinstitucionais,Pró-Reitoria,PROINTER,https://unilab.edu.br/prointer/
DF,Brasília,Universidade,Pública Federal,UNB,UNIVERSIDADE DE BRASÍLIA,http://www.unb.br,Secretaria de Assuntos Internacionais,Secretaria,INT,http://int.unb.br/br/institucional/a-int
ES,Vitória,Universidade,Pública Federal,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,http://www.ufes.br,Secretaria de Relações Internacionais,Secretaria,SRI,https://internacional.ufes.br
GO,Jataí,Universidade,Pública Federal,UFJ,UNIVERSIDADE FEDERAL DE JATAÍ,https://portalufj.jatai.ufg.br,Escritório de Internacionalização,Escritório,CAI,https://cai.jatai.ufg.br
GO,Goiânia,Universidade,Pública Federal,UFG,UNIVERSIDADE FEDERAL DE GOIÁS,http://www.ufg.br,Secretaria de Relações Internacionais,Secretaria,SRI,https://sri.ufg.br
GO,Catalão,Universidade,Pública Federal,UFCAT,UNIVERSIDADE FEDERAL DE CATALÃO,http://www.catalao.ufg.br,Coordenação de Assuntos Internacionais,Coordenadoria,CAI,https://cai.catalao.ufg.br/p/29088-composicao
GO,Anápolis,Universidade,Pública Estadual,UEG,UNIVERSIDADE ESTADUAL DE GOIÁS,http://www.ueg.br,Assessoria de Relações Externas,Assessoria,AREX,http://www.arex.ueg.br
MA,Imperatriz,Universidade,Pública Estadual,UEMASUL,UNIVERSIDADE ESTADUAL DA REGIÃO TOCANTINA DO MARANHÃO,https://uemasul.edu.br,Assessoria de Assuntos Internacionais,Assessoria,NF,https://www.uemasul.edu.br/portal/institucional/assessoria-de-assuntos-internacionais/
MA,São Luís,Universidade,Pública Estadual,UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,https://www.uema.br,Superintendência de Relações Internacionais,Superintendência,SRI,https://www.ari.uema.br
MA,São Luís,Universidade,Pública Federal,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,https://portalpadrao.ufma.br/site,Diretoria de Internacionalização,Diretoria,DIN,https://portais.ufma.br/PortalProReitoria/ageufma/paginas/pagina_estatica.jsf?id=1327
MG,Uberlândia,Universidade,Pública Federal,UFU,UNIVERSIDADE FEDERAL DEUBERLÂNDIA,http://www.ufu.br,Diretoria de Relações Internacionais e Interinstitucionais,Diretoria,DRI,http://www.dri.ufu.br
MG,Montes Claros,Universidade,Pública Estadual,UNIMONTES,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,https://unimontes.br,Núcleo de Intercâmbio e Cooperação Internacional,Núcleo,NIC,https://unimontes.br/nic/
MG,Belo Horizonte,Universidade,Pública Estadual,UEMG,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,https://www.uemg.br,Assessoria de Intercâmbio e Cooperação Internacional,Assessoria,NF,https://uemg.br/internacional
MG,Lavras,Universidade,Pública Federal,UFLA,UNIVERSIDADE FEDERAL DE LAVRAS,http://ufla.br,Diretoria de Relações Internacionais,Diretoria,DRI,https://dri.ufla.br
MG,Belo Horizonte,Universidade,Pública Federal,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,http://www.ufmg.br,Diretoria de Relações Internacionais,Diretoria,DRI,https://www.ufmg.br/dri/en/
MG,São João del Rei,Universidade,Pública Federal,UFSJ,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,http://www.ufsj.edu.br,Assessoria para Assuntos Internacionais,Assessoria,ASSIN,https://ufsj.edu.br/assin/
MG,Itajubá,Universidade,Pública Federal,UNIFEI,UNIVERSIDADE FEDERAL DE ITAJUBÁ,http://www.unifei.edu.br,Diretoria de Relações Internacionais,Diretoria,DRI,https://unifei.edu.br/relacoes-internacionais/
MG,Alfenas,Universidade,Pública Federal,UNIFAL,UNIVERSIDADE FEDERAL DE ALFENAS,https://www.unifal-mg.edu.br/portal/,Diretoria de Relações Internacionais,Diretoria,DRI,https://www.unifal-mg.edu.br/dri/
MG,Viçosa,Universidade,Pública Federal,UFV,UNIVERSIDADE FEDERAL DE VIÇOSA,http://www.ufv.br,Diretoria de Relações Internacionais,Diretoria,DRI,https://www.dri.ufv.br/english/
MG,Diamantina,Universidade,Pública Federal,UFVJM,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,http://www.ufvjm.edu.br,Diretoria de Relações Internacionais,Diretoria,DRI,http://www.ufvjm.edu.br/dri/
