,grande_area,area,codigo
322,Ciências Biológicas,Toxicologia,2.10.07.00-4
323,Ciências Biológicas,Farmacologia Clínica,2.10.08.00-0
324,Ciências Biológicas,Imunologia,2.11.00.00-4
325,Ciências Biológicas,Imunoquímica,2.11.01.00-0
326,Ciências Biológicas,Imunologia Celular,2.11.02.00-7
327,Ciências Biológicas,Imunogenética,2.11.03.00-3
328,Ciências Biológicas,Imunologia Aplicada,2.11.04.00-0
329,Ciências Biológicas,Microbiologia,2.12.00.00-9
330,Ciências Biológicas,Biologia e Fisiologia dos Microorganismos,2.12.01.00-5
331,Ciências Biológicas,Virologia,2.12.01.01-3
332,Ciências Biológicas,Bacterologia,2.12.01.02-1
333,Ciências Biológicas,Micologia,2.12.01.03-0
334,Ciências Biológicas,Microbiologia Aplicada,2.12.02.00-1
335,Ciências Biológicas,Microbiologia Médica,2.12.02.01-0
336,Ciências Biológicas,Microbiologia Industrial e de Fermentação,2.12.02.02-8
337,Ciências Biológicas,Parasitologia,2.13.00.00-3
338,Ciências Biológicas,Protozoologia de Parasitos,2.13.01.00-0
339,Ciências Biológicas,Protozoologia Parasitária Humana,2.13.01.01-8
340,Ciências Biológicas,Protozoologia Parasitária Animal,2.13.01.02-6
341,Ciências Biológicas,Helmintologia de Parasitos,2.13.02.00-6
342,Ciências Biológicas,Helmintologia Humana,2.13.02.01-4
343,Ciências Biológicas,Helmintologia Animal,2.13.02.02-2
344,Ciências Biológicas,Entomologia e Malacologia de Parasitos e Vetores,2.13.03.00-2
345,Engenharias,Engenharias,3.00.00.00-9
346,Engenharias,Engenharia Civil,3.01.00.00-3
347,Engenharias,Construção Civil,3.01.01.00-0
348,Engenharias,Materiais e Componentes de Construção,3.01.01.01-8
349,Engenharias,Processos Construtivos,3.01.01.02-6
350,Engenharias,Instalações Prediais,3.01.01.03-4
351,Engenharias,Estruturas,3.01.02.00-6
352,Engenharias,Estruturas de Concreto,3.01.02.01-4
353,Engenharias,Estruturas de Madeiras,3.01.02.02-2
354,Engenharias,Estruturas Metálicas,3.01.02.03-0
355,Engenharias,Mecânica das Estruturas,3.01.02.04-9
356,Engenharias,Geotécnica,3.01.03.00-2
357,Engenharias,Fundações e Escavações,3.01.03.01-0
358,Engenharias,Mecânicas das Rochas,3.01.03.02-9
359,Engenharias,Mecânicas dos Solos,3.01.03.03-7
360,Engenharias,Obras de Terra e Enrocamento,3.01.03.04-5
361,Engenharias,Pavimentos,3.01.03.05-3
362,Engenharias,Engenharia Hidráulica,3.01.04.00-9
363,Engenharias,Hidráulica,3.01.04.01-7
364,Engenharias,Hidrologia,3.01.04.02-5
365,Engenharias,Infra-Estrutura de Transportes,3.01.05.00-5
366,Engenharias,Aeroportos; Projeto e Construção,3.01.05.01-3
